,key_0,abv,ibu,beer_id,beer_name,style,style_group,ounces,brewery_id_x,brewery_id_y,brewery_name,city,state
98,360,0.048,23.0,1228,Mad Beach,American Pale Wheat Ale,American Pale Wheat Ale,12.0,360,360,Aviator Brewing Company,Fuquay-Varina, NC
99,360,0.092,5.0,704,Devils Tramping Ground Tripel,Tripel,other,12.0,360,360,Aviator Brewing Company,Fuquay-Varina, NC
100,360,0.061,41.0,702,Hot Rod Red,American Amber / Red Ale,American Amber / Red Ale,12.0,360,360,Aviator Brewing Company,Fuquay-Varina, NC
101,286,0.06,43.0,1875,Naked Pig Pale Ale,American Pale Ale (APA),American Pale Ale (APA),12.0,286,286,Back Forty Beer Company,Gadsden, AL
102,483,0.068,70.0,966,Topcutter India Pale Ale,American IPA,American IPA,12.0,483,483,Bale Breaker Brewing Company,Yakima, WA
103,483,0.044000000000000004,38.0,965,Field 41 Pale Ale,American Pale Ale (APA),American Pale Ale (APA),12.0,483,483,Bale Breaker Brewing Company,Yakima, WA
104,34,0.038,40.0,2105,Even Keel,American IPA,American IPA,12.0,34,34,Ballast Point Brewing Company,San Diego, CA
105,34,0.052000000000000005,23.0,1401,Ballast Point Pale Ale,Kölsch,Kölsch,12.0,34,34,Ballast Point Brewing Company,San Diego, CA
106,34,0.07,75.0,1400,Big Eye India Pale Ale,American IPA,American IPA,12.0,34,34,Ballast Point Brewing Company,San Diego, CA
107,34,0.07,70.0,1018,Sculpin IPA,American IPA,American IPA,12.0,34,34,Ballast Point Brewing Company,San Diego, CA
108,318,0.045,20.0,1644,Banner American Rye,Rye Beer,other,12.0,318,318,Banner Beer Company,Williamsburg, MA
109,318,0.035,45.0,1643,Banner American Ale,American Amber / Red Ale,American Amber / Red Ale,12.0,318,318,Banner Beer Company,Williamsburg, MA
110,20,0.07,46.0,2618,Thai.p.a,American IPA,American IPA,16.0,20,20,Bare Hands Brewery,Granger, IN
111,251,0.06,60.0,2005,Barrio Blanco,American IPA,American IPA,12.0,251,251,Barrio Brewing Company,Tucson, AZ
112,116,0.049,22.0,2404,Hop in the ‘Pool Helles,American Pilsner,other,12.0,116,116,Base Camp Brewing Co.,Portland, OR
113,116,0.067,60.0,2323,Ultra Gnar Gnar IPA,American IPA,American IPA,12.0,116,116,Base Camp Brewing Co.,Portland, OR
114,116,0.068,62.0,2189,In-Tents India Pale Lager,American Pale Lager,other,12.0,116,116,Base Camp Brewing Co.,Portland, OR
115,116,0.05,20.0,2188,Lost Meridian Wit,Witbier,other,12.0,116,116,Base Camp Brewing Co.,Portland, OR
116,116,0.051,45.0,2187,Celestial Meridian Cascadian Dark Lager,Euro Dark Lager,other,12.0,116,116,Base Camp Brewing Co.,Portland, OR
117,258,0.054000000000000006,55.0,1966,Wagon Party,California Common / Steam Beer,other,12.0,258,258,Bauhaus Brew Labs,Minneapolis, MN
118,258,0.067,70.0,1965,Sky-Five,American IPA,American IPA,12.0,258,258,Bauhaus Brew Labs,Minneapolis, MN
119,258,0.05,28.0,1964,Stargrazer,Schwarzbier,other,12.0,258,258,Bauhaus Brew Labs,Minneapolis, MN
120,258,0.054000000000000006,48.0,1963,Wonderstuff,German Pilsener,other,12.0,258,258,Bauhaus Brew Labs,Minneapolis, MN
121,292,0.07,42.0,1778,On the Count of 3 (2015),Hefeweizen,other,16.0,292,292,Baxter Brewing Company,Lewiston, ME
122,292,0.055,35.0,533,Amber Road,American Amber / Red Ale,American Amber / Red Ale,12.0,292,292,Baxter Brewing Company,Lewiston, ME
123,292,0.049,28.0,183,Pamola Xtra Pale Ale,American Pale Ale (APA),American Pale Ale (APA),12.0,292,292,Baxter Brewing Company,Lewiston, ME
124,292,0.069,69.0,182,Stowaway IPA,American IPA,American IPA,12.0,292,292,Baxter Brewing Company,Lewiston, ME
125,306,0.08800000000000001,108.0,1806,Hoptopus Double IPA,American Double / Imperial IPA,American Double / Imperial IPA,16.0,306,306,Beach Brewing Company,Virginia Beach, VA
126,103,0.05,10.0,2435,Watermelon Ale,Fruit / Vegetable Beer,Fruit / Vegetable Beer,12.0,103,103,Beer Works Brewery,Lowell, MA
127,103,0.0579999999999999,45.0,2423,Fenway American Pale Ale,American Pale Ale (APA),American Pale Ale (APA),12.0,103,103,Beer Works Brewery,Lowell, MA
128,103,0.068,85.0,2420,Back Bay IPA,American IPA,American IPA,12.0,103,103,Beer Works Brewery,Lowell, MA
129,103,0.048,16.0,2419,Bunker Hill Blueberry Ale ,Other,other,12.0,103,103,Beer Works Brewery,Lowell, MA
130,53,0.044000000000000004,44.0,2558,Moar,English India Pale Ale (IPA),other,12.0,53,53,Bent Brewstillery,Roseville, MN
131,53,0.057,27.0,2556,Nordic Blonde,American Blonde Ale,American Blonde Ale,12.0,53,53,Bent Brewstillery,Roseville, MN
132,75,0.07200000000000001,87.0,2410,Harness the Winter,American IPA,American IPA,12.0,75,75,Bent Paddle Brewing Company,Duluth, MN
133,75,0.0559999999999999,32.0,1902,14° ESB ,Extra Special / Strong Bitter (ESB),other,12.0,75,75,Bent Paddle Brewing Company,Duluth, MN
134,75,0.062,68.0,1901,Bent Hop Golden IPA,American IPA,American IPA,12.0,75,75,Bent Paddle Brewing Company,Duluth, MN
135,75,0.06,34.0,1261,Bent Paddle Black Ale,American Black Ale,other,12.0,75,75,Bent Paddle Brewing Company,Duluth, MN
136,75,0.05,38.0,1253,Venture Pils,German Pilsener,other,12.0,75,75,Bent Paddle Brewing Company,Duluth, MN
137,278,0.055,40.0,1900,Lost Sailor IPA,English India Pale Ale (IPA),other,12.0,278,278,Berkshire Brewing Company,South Deerfield, MA
138,278,0.053,20.0,1317,Steel Rail Extra Pale Ale,American Pale Ale (APA),American Pale Ale (APA),12.0,278,278,Berkshire Brewing Company,South Deerfield, MA
139,220,0.081,17.0,2104,Aprè Shred,American Strong Ale,other,16.0,220,220,Big Choice Brewing,Broomfield, CO
140,220,0.095,104.0,1762,Hemlock Double IPA,American Double / Imperial IPA,American Double / Imperial IPA,12.0,220,220,Big Choice Brewing,Broomfield, CO
141,220,0.067,85.0,1067,Disconnected Red,American Amber / Red Ale,American Amber / Red Ale,16.0,220,220,Big Choice Brewing,Broomfield, CO
142,8,0.08,54.0,2639,Dark Star,American Stout,other,16.0,8,8,Big Lake Brewing,Holland, MI
143,40,0.075,60.0,2585,Galaxy IPA,American IPA,American IPA,16.0,40,40,Big Muddy Brewing,Murphysboro, IL
144,519,0.05,32.0,643,Big River Pilsner,Czech Pilsener,other,12.0,519,519,Big River Brewing Company,Chattanooga, TN
145,519,0.06,55.0,632,House Brand IPA,American IPA,American IPA,12.0,519,519,Big River Brewing Company,Chattanooga, TN
146,336,0.062,65.0,1714,Big Sky IPA,American IPA,American IPA,12.0,336,336,Big Sky Brewing Company,Missoula, MT
147,336,0.05,40.0,1713,Scape Goat Pale Ale,English Pale Ale,other,12.0,336,336,Big Sky Brewing Company,Missoula, MT
148,336,0.05,35.0,1712,Montana Trout Slayer Ale,American Pale Wheat Ale,American Pale Wheat Ale,12.0,336,336,Big Sky Brewing Company,Missoula, MT
149,336,0.051,26.0,1711,Moose Drool Brown Ale,American Brown Ale,American Brown Ale,12.0,336,336,Big Sky Brewing Company,Missoula, MT
150,336,0.07200000000000001,60.0,1456,Powder Hound Winter Ale,English Strong Ale,other,12.0,336,336,Big Sky Brewing Company,Missoula, MT
151,336,0.051,26.0,767,Moose Drool Brown Ale (2011),American Brown Ale,American Brown Ale,12.0,336,336,Big Sky Brewing Company,Missoula, MT
152,336,0.05,35.0,766,Montana Trout Slayer Ale (2012),American Pale Wheat Ale,American Pale Wheat Ale,12.0,336,336,Big Sky Brewing Company,Missoula, MT
153,336,0.062,65.0,579,Big Sky IPA (2012),American IPA,American IPA,12.0,336,336,Big Sky Brewing Company,Missoula, MT
154,336,0.05,40.0,159,Scape Goat Pale Ale (2010),English Pale Ale,other,12.0,336,336,Big Sky Brewing Company,Missoula, MT
155,336,0.05,35.0,35,Montana Trout Slayer Ale (2009),American Pale Wheat Ale,American Pale Wheat Ale,12.0,336,336,Big Sky Brewing Company,Missoula, MT
156,336,0.051,26.0,34,Moose Drool Brown Ale (2009),American Brown Ale,American Brown Ale,12.0,336,336,Big Sky Brewing Company,Missoula, MT
157,221,0.069,81.0,2096,Arcus IPA,American IPA,American IPA,12.0,221,221,Big Storm Brewing Company,Odessa, FL
158,221,0.0579999999999999,38.0,2095,Wavemaker,American Amber / Red Ale,American Amber / Red Ale,12.0,221,221,Big Storm Brewing Company,Odessa, FL
159,444,0.053,43.0,1257,Jack Pine Savage,American Pale Ale (APA),American Pale Ale (APA),16.0,444,444,Big Wood Brewery,Vadnais Heights, MN
160,444,0.099,85.0,1256,Forest Fire Imperial Smoked Rye,Rye Beer,other,16.0,444,444,Big Wood Brewery,Vadnais Heights, MN
161,444,0.098,76.0,1255,Bad Axe Imperial IPA,American Double / Imperial IPA,American Double / Imperial IPA,16.0,444,444,Big Wood Brewery,Vadnais Heights, MN
162,444,0.055,35.0,986,Morning Wood,Oatmeal Stout,other,16.0,444,444,Big Wood Brewery,Vadnais Heights, MN
163,444,0.066,50.0,985,Bark Bite IPA,American IPA,American IPA,16.0,444,444,Big Wood Brewery,Vadnais Heights, MN
164,70,0.055,45.0,2508,Jalapeno Pale Ale,American Pale Ale (APA),American Pale Ale (APA),16.0,70,70,Birdsong Brewing Company,Charlotte, NC
165,18,0.07200000000000001,75.0,2620,Saucy Intruder,Rye Beer,other,16.0,18,18,Black Acre Brewing Co.,Indianapolis, IN
166,112,0.045,16.0,2412,Deception,American Blonde Ale,American Blonde Ale,12.0,112,112,Black Market Brewing Company,Temecula, CA
167,112,0.075,35.0,1898,Blackmarket Rye IPA,American IPA,American IPA,12.0,112,112,Black Market Brewing Company,Temecula, CA
168,112,0.05,8.0,1897,Black Market Hefeweizen,Hefeweizen,other,12.0,112,112,Black Market Brewing Company,Temecula, CA
169,112,0.0579999999999999,44.0,1896,Aftermath Pale Ale,American Pale Ale (APA),American Pale Ale (APA),12.0,112,112,Black Market Brewing Company,Temecula, CA
170,294,0.071,83.0,1850,American India Red Ale,American Strong Ale,other,12.0,294,294,Black Shirt Brewing Company,Denver, CO
171,294,0.071,45.0,1849,American Red Porter,American Porter,American Porter,12.0,294,294,Black Shirt Brewing Company,Denver, CO
172,294,0.078,34.0,1848,American Red Saison,Saison / Farmhouse Ale,other,12.0,294,294,Black Shirt Brewing Company,Denver, CO
173,294,0.066,44.0,1847,Colorado Red Ale,American Amber / Red Ale,American Amber / Red Ale,12.0,294,294,Black Shirt Brewing Company,Denver, CO
174,79,0.048,16.0,2485,Saddle Bronc Brown Ale,American Brown Ale,American Brown Ale,12.0,79,79,Black Tooth Brewing Company,Sheridan, WY
175,79,0.046,20.0,2484,Bomber Mountain Amber Ale,American Amber / Red Ale,American Amber / Red Ale,12.0,79,79,Black Tooth Brewing Company,Sheridan, WY
176,12,0.048,47.0,2634,Nordskye ,American IPA,American IPA,12.0,12,12,Blackrocks Brewery,Marquette, MI
177,12,0.06,30.0,2153,North Third Stout,Foreign / Export Stout,other,12.0,12,12,Blackrocks Brewery,Marquette, MI
178,12,0.07,51.0,1481,51K IPA,American IPA,American IPA,12.0,12,12,Blackrocks Brewery,Marquette, MI
179,380,0.0559999999999999,37.0,888,1327 Pod's ESB,Extra Special / Strong Bitter (ESB),other,12.0,380,380,Blue Blood Brewing Company,Lincoln, NE
180,380,0.046,35.0,611,834 Happy As Ale,American Pale Ale (APA),American Pale Ale (APA),12.0,380,380,Blue Blood Brewing Company,Lincoln, NE
181,304,0.08,80.0,1812,Quarter Mile Double IPA,American Double / Imperial IPA,American Double / Imperial IPA,12.0,304,304,Blue Hills Brewery,Canton, MA
182,382,0.059000000000000004,60.0,1547,Full Nelson Pale Ale,American Pale Ale (APA),American Pale Ale (APA),12.0,382,382,Blue Mountain Brewery,Afton, VA
183,382,0.065,30.0,1546,Steel Wheels ESB,Extra Special / Strong Bitter (ESB),other,12.0,382,382,Blue Mountain Brewery,Afton, VA
184,382,0.053,22.0,1545,Blue Mountain Classic Lager,Euro Pale Lager,other,12.0,382,382,Blue Mountain Brewery,Afton, VA
185,382,0.059000000000000004,60.0,119,Full Nelson Pale Ale (2010),American Pale Ale (APA),American Pale Ale (APA),12.0,382,382,Blue Mountain Brewery,Afton, VA
186,414,0.049,16.0,1408,Kölsch 151,Kölsch,Kölsch,12.0,414,414,Blue Mountain Brewery,Arrington, VA
187,489,0.06,40.0,692,Blue Point White IPA,American White IPA,other,12.0,489,489,Blue Point Brewing Company,Patchogue, NY
188,489,0.044000000000000004,16.0,667,Blue Point Summer Ale,American Blonde Ale,American Blonde Ale,12.0,489,489,Blue Point Brewing Company,Patchogue, NY
189,489,0.055,28.0,665,Toasted Lager,Vienna Lager,other,12.0,489,489,Blue Point Brewing Company,Patchogue, NY
190,281,0.042,30.0,1891,Longhop IPA,American IPA,American IPA,16.0,281,281,Bolero Snort Brewery,Ridgefield Park, NJ
191,281,0.04,34.0,1890,Lucky Buck,Irish Dry Stout,other,16.0,281,281,Bolero Snort Brewery,Ridgefield Park, NJ
192,525,0.045,27.0,513,Bomb Lager (Old Recipe),Munich Helles Lager,other,12.0,525,525,Bomb Beer Company,New York, NY
193,107,0.066,72.0,2422,Firestarter India Pale Ale,American IPA,American IPA,12.0,107,107,Bonfire Brewing Company,Eagle, CO
194,107,0.075,22.0,1727,Kilt Dropper Scotch Ale,Scotch Ale / Wee Heavy,other,16.0,107,107,Bonfire Brewing Company,Eagle, CO
195,107,0.048,30.0,1614,Wood Splitter Pilsner,Czech Pilsener,other,16.0,107,107,Bonfire Brewing Company,Eagle, CO
196,107,0.0559999999999999,26.0,1613,Gyptoberfest,Märzen / Oktoberfest,other,12.0,107,107,Bonfire Brewing Company,Eagle, CO
197,107,0.07,94.0,1549,Farmer Wirtz India Pale Ale,English India Pale Ale (IPA),other,16.0,107,107,Bonfire Brewing Company,Eagle, CO
198,107,0.048,38.0,1360,Screaming Eagle Special Ale ESB,Extra Special / Strong Bitter (ESB),other,12.0,107,107,Bonfire Brewing Company,Eagle, CO
199,107,0.053,45.0,1183,Kindler Pale Ale,American Pale Ale (APA),American Pale Ale (APA),12.0,107,107,Bonfire Brewing Company,Eagle, CO
